name,type,top,toperr,bot,boterr,C,M,Y,K,R,G,B,fontstyle,fontcolor
Guadalupian,Epoch,259.1,0.5,272.95,0.11,0,55,50,0,251,116,92,regular,black
Capitanian,Age,259.1,0.5,265.1,0.4,0,40,35,0,251,154,133,regular,black
Wordian,Age,265.1,0.4,268.8,0.5,0,45,40,0,251,141,118,regular,black
Roardian,Age,268.8,0.5,272.95,0.11,0,50,45,0,251,128,105,regular,black
Cisuralian,Epoch,272.95,0.11,298.9,0.15,5,65,60,0,239,88,69,regular,black
Kungurian,Age,272.95,0.11,283.5,0.6,10,45,40,0,227,135,118,regular,black
Artinskian,Age,283.5,0.6,290.1,0.26,10,50,45,0,227,123,104,regular,black
Sakmarian,Age,290.1,0.26,295,0.18,10,55,50,0,227,111,92,regular,black
Asselian,Age,295,0.18,298.9,0.15,10,60,55,0,227,99,88,regular,black
Carboniferous,Period,298.9,0.15,358.9,0.4,60,15,30,0,103,165,153,regular,white
Pennsylvanian,superepoch,298.9,0.15,323.2,0.4,40,10,20,0,153,194,181,regular,black
Upper,Epoch,298.9,0.15,307,0.1,25,10,20,0,191,208,186,regular,black
Gzhelian,Age,298.9,0.15,303.7,0.1,20,10,15,0,204,212,199,regular,black
Kasimovian,Age,303.7,0.1,307,0.1,25,10,15,0,191,208,197,regular,black
Middle,Epoch,307,0.1,315.2,0.2,35,10,20,0,166,199,183,regular,black
Moscovian,Age,307,0.1,315.2,0.2,30,10,20,0,179,185,197,regular,black
Lower,Epoch,315.2,0.2,323.2,0.4,45,10,20,0,140,190,180,regular,black
Bashkirian,Age,315.2,0.2,323.2,0.4,40,10,20,0,153,194,181,regular,black
Mississippian,superepoch,323.2,0.4,358.9,0.4,60,25,55,0,103,143,102,regular,white
Upper,Epoch,323.2,0.4,330.9,0.2,30,15,55,0,179,190,108,regular,black
Serpukhovian,Age,323.2,0.4,330.9,0.2,25,15,55,0,191,194,107,regular,black
Middle,Epoch,330.9,0.2,346.7,0.4,40,15,55,0,153,180,108,regular,black
Visean,Age,330.9,0.2,346.7,0.4,35,15,55,0,166,185,108,regular,black
Lower,Epoch,346.7,0.4,358.9,0.4,50,15,55,0,128,171,108,regular,black
Tournaisian,Age,346.7,0.4,358.9,0.4,45,15,55,0,140,176,108,regular,black
Devonian,Period,358.9,0.4,419.2,3.2,20,40,75,0,203,140,55,regular,black
Upper,Epoch,358.9,0.4,382.7,1.6,5,10,35,0,241,225,157,regular,black
Famennian,Age,358.9,0.4,372.2,1.6,5,5,20,0,242,237,197,regular,black
Frasnian,Age,372.2,1.6,382.7,1.6,5,5,30,0,242,237,173,regular,black
Eifelian,Age,378.7,0.8,393.3,1.2,5,15,50,0,241,213,118,regular,black
Middle,Epoch,382.7,1.6,393.3,1.2,5,20,55,0,241,200,104,regular,black
Givetian,Age,382.7,1.6,378.7,0.8,5,10,45,0,241,225,133,regular,black
Lower,Epoch,393.3,1.2,419.2,3.2,10,30,65,0,229,172,77,regular,black
Emsian,Age,393.3,1.2,407.6,2.6,10,15,50,0,229,208,117,regular,black
Pragian,Age,407.6,2.6,410.8,2.8,10,20,55,0,229,196,104,regular,black
Lochkovian,Age,410.8,2.8,419.2,3.2,10,25,60,0,229,183,90,regular,black
Silurian,Period,419.2,3.2,443.8,1.5,30,0,25,0,179,225,182,regular,black
Pridoli,Epoch,419.2,3.2,423,2.3,10,0,10,0,230,245,225,regular,black
,Age,419.2,3.2,423,2.3,10,0,10,0,230,245,225,regular,black
Ludlow,Epoch,423,2.3,425.6,0.9,25,0,15,0,191,230,207,regular,black
Ludfordian,Age,423,2.3,425.6,0.9,15,0,10,0,217,240,223,regular,black
Wenlock,Epoch,425.6,0.9,433.4,0.8,30,0,20,0,179,225,194,regular,black
Gorstian,Age,425.6,0.9,427.4,0.5,20,0,10,0,204,236,221,regular,black
Homerian,Age,427.4,0.5,430.5,0.7,20,0,15,0,204,235,209,regular,black
Sheinwoodian,Age,430.5,0.7,433.4,0.8,25,0,20,0,191,230,195,regular,black
Llandovery,Epoch,433.4,0.8,443.8,1.5,40,0,25,0,153,215,179,regular,black
Telychian,Age,433.4,0.8,438.5,1.1,25,0,15,0,191,230,207,regular,black
Aeronian,Age,438.5,1.1,440.8,1.2,30,0,20,0,179,225,194,regular,black
Rhuddanian,Age,440.8,1.2,443.8,1.5,35,0,25,0,166,220,181,regular,black
